35, 0.47619047619048 0.45035105315948 0.305918 0.859579;
36, 0.48095238095238 0.48545636910732 0.450351 0.865597;
37, 0.49464285714286 0.49047141424273 0.426279 0.881645;
38, 0.50654761904762 0.46940822467402 0.367101 0.881645;
39, 0.50119047619048 0.46439317953862 0.293882 0.887663;
40, 0.50416666666667 0.46439317953862 0.317954 0.883651;
41, 0.5047619047619 0.45737211634905 0.303912 0.880642;
42, 0.50535714285714 0.45235707121364 0.297894 0.872618;
43, 0.50416666666667 0.44834503510532 0.288867 0.867603;
44, 0.50654761904762 0.44834503510532 0.285858 0.862588;
45, 0.50535714285714 0.47642928786359 0.436309 0.847543;
46, 0.51369047619048 0.58575727181545 0.575727 0.847543;
47, 0.51190476190476 0.63891675025075 0.635908 0.850552;
48, 0.52142857142857 0.5616850551655 0.558676 0.853561;
49, 0.50178571428571 0.47542627883651 0.428285 0.864594;
50, 0.49404761904762 0.43931795386158 0.344032 0.869609;
51, 0.49880952380952 0.43229689067202 0.300903 0.867603;
52, 0.4952380952381 0.42126379137412 0.307924 0.864594;
53, 0.49107142857143 0.43430290872618 0.286861 0.864594;
54, 0.49107142857143 0.43430290872618 0.262788 0.865597;
55, 0.48452380952381 0.43630892678034 0.251755 0.865597;
56, 0.48035714285714 0.43630892678034 0.233701 0.859579;
57, 0.47678571428571 0.43630892678034 0.227683 0.857573;
58, 0.47619047619048 0.43430290872618 0.218656 0.855567;
59, 0.47678571428571 0.43129388164493 0.211635 0.855567;
60, 0.475 0.42728184553661 0.208626 0.855567;
61, 0.47202380952381 0.43129388164493 0.203611 0.855567;
62, 0.47083333333333 0.4332998996991 0.201605 0.855567;
63, 0.46904761904762 0.4332998996991 0.208626 0.858576;
64, 0.46785714285714 0.43229689067202 0.263791 0.860582;
65, 0.4672619047619 0.42627883650953 0.378134 0.853561;
66, 0.4625 0.49949849548646 0.484453 0.859579;
67, 0.46309523809524 0.5777331995988 0.575727 0.8666;
68, 0.47083333333333 0.56268806419258 0.557673 0.863591;
69, 0.46785714285714 0.50752256770311 0.492477 0.862588;
70, 0.46964285714286 0.53861584754263 0.520562 0.8666;
71, 0.47916666666667 0.62988966900702 0.616851 0.863591;
72, 0.49642857142857 0.67502507522568 0.65998 0.859579;
73, 0.50654761904762 0.62688064192578 0.605817 0.868606;
74, 0.50714285714286 0.57973921765296 0.573721 0.872618;
